y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
0,0.19790669234030017,1.2989498428155424,2.3405040460732063,-0.062350107626014395,-0.27224524543378953,0.7056090938575088,-0.6062062449542795,-1.1101478990938058,5.575734102665111,4.012973206795964,4.574881131957714,4.85100276069327,4.051043449594433,5.296166969208702
0,0.3533921107252108,-0.33462819707103575,1.0654531996061956,0.8574287369142828,-1.3536517597958668,1.7469721491048515,1.564638936201157,0.8977378413340809,7.424192340298667,6.475869951933011,5.69070921078949,5.634652072749344,6.370702621535424,6.926069985142814
1,0.7622067592719075,2.039777587627856,4.456652658068938,1.949239994268737,0.8258732971929315,1.3688660155549248,-0.6875996764708905,1.0149459042717366,7.778247585753212,5.466606440410967,3.3529773570341987,3.5318895071341516,5.802154033808855,4.280163552909664
0,0.6867905788539024,4.523696321945076,1.9823633904656202,1.3320065355268769,-0.4862380731899978,1.0955951442527527,-0.6746476947359488,0.7597263183725442,3.7632308568977093,3.954113030555329,5.127361912510458,5.602873193528161,5.587223119621434,5.785508743439444
1,-0.2893904093409155,0.7792202807120918,2.528640367749131,-1.36326618923322,1.9803369440522824,0.9148150573866279,-1.3842966289913747,1.3042966107281735,3.2629920183953174,5.416974590204177,5.046096921478571,2.2602230490902646,5.754294400001797,5.0498977523923205
1,-0.0794517368616427,-0.7657045496895365,1.962887505554813,-0.22861851230799674,-0.6309915436517272,-0.3203975948115419,0.05193152091615327,-1.3443745512980931,6.313371814601378,4.7447492935111395,4.813474063136682,4.4247512707262375,5.270164935783083,5.5177026775223
1,-0.7541783518336588,1.4058407376297561,-1.9578471534705224,0.2753210879059087,0.6832904604860304,0.05723599728182309,0.2809592019806376,-0.8662401995237093,4.972384053554285,4.722642738419623,5.390252482139811,4.153460044410453,4.805955831547743,6.341970679484318
0,1.5179293415582737,2.3478941371003104,2.8084229146832747,1.5002135758036856,0.9199044762996199,1.7047396961565728,0.4018578495294467,0.5932163596222251,5.20276237198936,4.327933737397048,4.750380774715494,5.07267079073033,5.133708116943164,4.353710658620166
0,1.1648695301239191,3.206421558408712,1.7883168113406291,-0.8304427128833916,2.5826667267744425,2.8320610869886567,0.2944413320217242,1.398562272976423,4.623110666144313,4.62760242782614,4.320463216628293,4.143877846926697,3.730018345775445,5.017747735671362
1,-0.44210709659746417,-0.7333541319202384,2.442802464612549,1.1233275107264604,-1.2926694182294545,-0.19551861334576331,-0.07001960747647851,-0.3629825224865829,3.787523702392097,4.399910536510436,4.625441738135397,5.476466275311171,5.005461795333075,5.278789764364419
1,-0.4002526577540437,1.2858616936342229,2.5349291978794746,0.635950989941679,-0.25361847165257334,1.365366844078224,-1.046826964856122,1.1720461664714203,5.934324633946596,4.892398765850321,4.837693346951276,4.3864181179035,6.158308958468469,5.672112641439453
1,0.7399170384791562,0.3021568016519427,3.8772162267573362,0.0814200681079115,0.035034600280256734,0.08247972773952295,1.7295927266280064,1.0645267069477695,4.088541972726439,3.5746032615404255,3.3455695310875377,5.128450580558956,4.454885654982521,3.4872856896970013
